Date,AUDUSD=X,CL=F,EEM,EFA,EURUSD=X,GBPUSD=X,GC=F,IWM,QQQ,SPY,USDJPY=X,VNQ,ZB=F
2015-01-02,0.8177952170372009,52.689998626708984,30.355052947998047,43.7806282043457,1.2089413404464722,1.5579720735549927,1186.0,102.78699493408203,94.66509246826172,170.12501525878906,119.87000274658203,52.549888610839844,145.5
2015-01-05,0.8067768812179565,50.040000915527344,29.814815521240234,42.7471809387207,1.194643259048462,1.5284910202026367,1203.9000244140625,101.41278839111328,93.27642822265625,167.05259704589844,120.43399810791016,52.83747482299805,146.96875
2015-01-06,0.8099789619445801,47.93000030517578,29.689537048339844,42.26298141479492,1.193901538848877,1.5258322954177856,1219.300048828125,99.65835571289062,92.0257568359375,165.4791259765625,119.42500305175781,53.36158752441406,148.15625
2015-01-07,0.8080155253410339,48.650001525878906,30.331560134887695,42.73272705078125,1.1875356435775757,1.5137982368469238,1210.5999755859375,100.8856201171875,93.21208190917969,167.54122924804688,118.6729965209961,54.17966842651367,148.1875
2015-01-08,0.8075587749481201,48.790000915527344,30.84830665588379,43.310882568359375,1.1836000680923462,1.5107566118240356,1208.4000244140625,102.59684753417969,94.99613189697266,170.51419067382812,119.28900146484375,54.38419723510742,146.90625
2015-01-09,0.8114249110221863,48.36000061035156,30.74652862548828,43.101295471191406,1.1796069145202637,1.5087963342666626,1216.0,101.611572265625,94.37080383300781,169.14781188964844,119.79199981689453,54.409767150878906,147.53125
2015-01-12,0.8222332000732422,46.06999969482422,30.495983123779297,43.000125885009766,1.187070369720459,1.5189489126205444,1232.699951171875,101.2745132446289,93.38681030273438,167.8227996826172,118.21199798583984,54.8251838684082,148.4375
2015-01-13,0.8150623440742493,45.88999938964844,30.76218032836914,43.21692657470703,1.1831519603729248,1.5170363187789917,1234.300048828125,101.35227966308594,93.35918426513672,167.3507537841797,118.3280029296875,54.74211883544922,148.625
2015-01-14,0.8173941373825073,48.47999954223633,30.589933395385742,43.09408187866211,1.1778285503387451,1.5170363187789917,1234.4000244140625,100.94609069824219,92.84423065185547,166.34039306640625,117.79499816894531,55.21508026123047,149.40625
2015-01-15,0.8144648671150208,46.25,30.660398483276367,43.36868667602539,1.1785920858383179,1.5234380960464478,1264.699951171875,99.2435073852539,91.63954162597656,164.816650390625,117.38999938964844,55.342899322509766,150.09375
